,open,close,high,low,volume,rangePips,candleColor,date,time,symbol,timeFrame
0,1.43283,1.43335,1.43356,1.43181,76787.3984,17,g,2010-01-01,00:00:00,EURUSD,1D
1,1.43335,1.43335,1.43335,1.43335,0.0,0,e,2010-01-02,00:00:00,EURUSD,1D
2,1.43295,1.43141,1.43359,1.4291,6331.2998,44,r,2010-01-03,00:00:00,EURUSD,1D
3,1.43143,1.44244,1.44556,1.42559,80019.3984,199,g,2010-01-04,00:00:00,EURUSD,1D
4,1.44238,1.43634,1.44834,1.43445,79887.1016,138,r,2010-01-05,00:00:00,EURUSD,1D
5,1.43638,1.44005,1.44342,1.42807,80971.7969,153,g,2010-01-06,00:00:00,EURUSD,1D
6,1.44008,1.43155,1.44432,1.42976,80807.5,145,r,2010-01-07,00:00:00,EURUSD,1D
7,1.43164,1.44083,1.44382,1.42616,76152.3984,176,g,2010-01-08,00:00:00,EURUSD,1D
8,1.44083,1.44083,1.44083,1.44083,0.0,0,e,2010-01-09,00:00:00,EURUSD,1D
9,1.44123,1.44631,1.44761,1.44049,6299.3999,71,g,2010-01-10,00:00:00,EURUSD,1D
10,1.44631,1.45063,1.45539,1.44614,80141.2031,92,g,2010-01-11,00:00:00,EURUSD,1D
11,1.45064,1.4475,1.45479,1.44507,79495.1016,97,r,2010-01-12,00:00:00,EURUSD,1D
12,1.44751,1.45215,1.45797,1.4455,80513.7031,124,g,2010-01-13,00:00:00,EURUSD,1D
13,1.45209,1.44982,1.45546,1.4445,79970.7031,109,r,2010-01-14,00:00:00,EURUSD,1D
14,1.44974,1.43849,1.45023,1.43347,76228.2031,167,r,2010-01-15,00:00:00,EURUSD,1D
15,1.43849,1.43849,1.43849,1.43849,0.0,0,e,2010-01-16,00:00:00,EURUSD,1D
16,1.43814,1.43665,1.43814,1.43335,6627.7002,47,r,2010-01-17,00:00:00,EURUSD,1D
17,1.43665,1.44039,1.4407,1.43325,80160.8984,74,g,2010-01-18,00:00:00,EURUSD,1D
18,1.44025,1.42788,1.44124,1.42498,79005.1016,162,r,2010-01-19,00:00:00,EURUSD,1D
19,1.42796,1.41119,1.42877,1.4078,80300.5,209,r,2010-01-20,00:00:00,EURUSD,1D
20,1.41115,1.40979,1.41422,1.40247,78980.1016,117,r,2010-01-21,00:00:00,EURUSD,1D
21,1.40977,1.41361,1.41805,1.40837,76660.2969,96,g,2010-01-22,00:00:00,EURUSD,1D
22,1.41361,1.41361,1.41361,1.41361,0.0,0,e,2010-01-23,00:00:00,EURUSD,1D
23,1.41409,1.41517,1.41705,1.41396,6676.3999,30,g,2010-01-24,00:00:00,EURUSD,1D
24,1.41498,1.41458,1.41939,1.41248,79577.2031,69,r,2010-01-25,00:00:00,EURUSD,1D
25,1.41454,1.40808,1.4178,1.40397,79232.6016,138,r,2010-01-26,00:00:00,EURUSD,1D
26,1.40804,1.4028,1.40957,1.39944,79686.7031,101,r,2010-01-27,00:00:00,EURUSD,1D
27,1.40274,1.3962,1.40516,1.39454,79625.5,106,r,2010-01-28,00:00:00,EURUSD,1D
28,1.39604,1.38605,1.39861,1.38589,74382.1016,127,r,2010-01-29,00:00:00,EURUSD,1D
29,1.38605,1.38605,1.38605,1.38605,0.0,0,e,2010-01-30,00:00:00,EURUSD,1D
30,1.38565,1.38732,1.38817,1.38511,6726.5,30,g,2010-01-31,00:00:00,EURUSD,1D
31,1.38724,1.392,1.39366,1.38501,80121.6016,86,g,2010-02-01,00:00:00,EURUSD,1D
32,1.39203,1.39737,1.39756,1.3883,80001.7031,92,g,2010-02-02,00:00:00,EURUSD,1D
